project_name,failure_reason,main_entry_count,closure_file_count,unresolved_include_count
Blankeeir_Blockchain-Analyst-2024.7,no_main_entry,0,0,0
CXYALEX_auction_house,no_main_entry,0,0,0
GaetanoMondelli_ETH-GLOBAL-LONDON,no_main_entry,0,0,0
kenhm25_PSE_Group2_Project,no_main_entry,0,0,0
MicrochainLabs_limited-scope-account-circuits,no_main_entry,0,0,0
Orbiter-Finance_stark-snark-recursive-proofs,no_main_entry,0,0,0
pierpaolodm_Privacy-PreservingProofs4EditedPhotos,no_main_entry,0,0,0
ragahv05-maker_credity,no_main_entry,0,0,0
UrsaMajor-t_stark-snark-recursive-proofs,no_main_entry,0,0,0
VictorColomb_stark-snark-recursive-proofs,no_main_entry,0,0,0
vocdoni_zk-franchise-proof-circuit,no_main_entry,0,0,0
vplasencia_semaphorev4-generate-zk-artifacts,no_main_entry,0,0,0
