only_variant,project_name,file_path,mode,leak_count,full_leak_count,partial_leak_count,cascade_leak_count,present_full,present_no_unroll_aggressive
no-unroll-aggressive,2dvorak_zk-jwt-poc,2dvorak_zk-jwt-poc\circuits\jwt.circom,main,5,5,0,0,True,True
no-unroll-aggressive,AkshatGada_circom-lib,AkshatGada_circom-lib\circuits\Pubkey.circom,main,1,1,0,0,True,True
no-unroll-aggressive,CleanPegasus_zero-knowledge-puzzles,CleanPegasus_zero-knowledge-puzzles\Power\pow.circom,main,1,1,0,0,True,True
full,Galactica-corp_galactica-monorepo,Galactica-corp_galactica-monorepo\packages\zk-certificates\circuits\mains\mimcEnDecrypt.main.circom,main,2,2,0,1,True,True
no-unroll-aggressive,MultiplicityFoundation_Lambda-Proof,MultiplicityFoundation_Lambda-Proof\circuits\lib\MillerRabin.circom,main,1,1,0,0,True,True
no-unroll-aggressive,Punith-KK_Kira,Punith-KK_Kira\circuits\key_generation\circuit.circom,main,1,1,0,0,True,True
full,RippnerLabs_cloak-minster-ballot,RippnerLabs_cloak-minster-ballot\circom\vote\vote.circom,main,1,1,0,0,True,True
no-unroll-aggressive,WasinYokk_OTC,WasinYokk_OTC\circomlib-master\test\circuits\escalarmul_min_test.circom,main,1,1,0,0,True,True
no-unroll-aggressive,WasinYokk_OTC,WasinYokk_OTC\circomlib-master\test\circuits\escalarmul_test.circom,main,1,1,0,0,True,True
no-unroll-aggressive,WasinYokk_OTC,WasinYokk_OTC\circomlib-master\test\circuits\escalarmul_test_min.circom,main,1,1,0,0,True,True
full,WasinYokk_OTC,WasinYokk_OTC\circomlib-master\test\circuits\escalarmulany_test.circom,main,1,0,1,0,True,True
no-unroll-aggressive,WasinYokk_OTC,WasinYokk_OTC\circomlib-master\test\circuits\escalarmulfix_test.circom,main,1,1,0,0,True,True
no-unroll-aggressive,WasinYokk_OTC,WasinYokk_OTC\circomlib-master\test\circuits\mux1_1.circom,main,1,1,0,0,True,True
no-unroll-aggressive,WasinYokk_OTC,WasinYokk_OTC\circomlib-master\test\circuits\mux2_1.circom,main,1,1,0,0,True,True
no-unroll-aggressive,WasinYokk_OTC,WasinYokk_OTC\circomlib-master\test\circuits\mux3_1.circom,main,1,1,0,0,True,True
no-unroll-aggressive,WasinYokk_OTC,WasinYokk_OTC\circomlib-master\test\circuits\mux4_1.circom,main,1,1,0,0,True,True
full,agnij-dutta_sigil,agnij-dutta_sigil\web3\circuits\core\primitives\signature_verify.circom,main,1,0,1,0,True,True
no-unroll-aggressive,alexbabits_circom-puzzles,alexbabits_circom-puzzles\MultiAND\MultiAND.circom,main,1,1,0,0,True,True
no-unroll-aggressive,alexbabits_circom-puzzles,alexbabits_circom-puzzles\MultiOR\MultiOR.circom,main,1,1,0,0,True,True
no-unroll-aggressive,costa-group_circom_tests,costa-group_circom_tests\circomlib_original_2.0\test\escalarmul_min_test\escalarmul_min_test.circom,main,1,1,0,0,True,True
no-unroll-aggressive,costa-group_circom_tests,costa-group_circom_tests\circomlib_original_2.0\test\escalarmul_test\escalarmul_test.circom,main,1,1,0,0,True,True
no-unroll-aggressive,costa-group_circom_tests,costa-group_circom_tests\circomlib_original_2.0\test\escalarmul_test_min\escalarmul_test_min.circom,main,1,1,0,0,True,True
full,costa-group_circom_tests,costa-group_circom_tests\circomlib_original_2.0\test\escalarmulany_test\escalarmulany_test.circom,main,1,0,1,0,True,True
no-unroll-aggressive,costa-group_circom_tests,costa-group_circom_tests\circomlib_original_2.0\test\escalarmulfix_test\escalarmulfix_test.circom,main,1,1,0,0,True,True
no-unroll-aggressive,costa-group_circom_tests,costa-group_circom_tests\circomlib_original_2.0\test\mux1_1\mux1_1.circom,main,1,1,0,0,True,True
no-unroll-aggressive,costa-group_circom_tests,costa-group_circom_tests\circomlib_original_2.0\test\mux2_1\mux2_1.circom,main,1,1,0,0,True,True
no-unroll-aggressive,costa-group_circom_tests,costa-group_circom_tests\circomlib_original_2.0\test\mux3_1\mux3_1.circom,main,1,1,0,0,True,True
no-unroll-aggressive,costa-group_circom_tests,costa-group_circom_tests\circomlib_original_2.0\test\mux4_1\mux4_1.circom,main,1,1,0,0,True,True
no-unroll-aggressive,costa-group_circom_tests,costa-group_circom_tests\detecting_last_assignment\known_last_array\known_last_assignment_1_mixed_array\known_last_assignment_1_mixed_array.circom,main,1,1,0,0,True,True
no-unroll-aggressive,costa-group_circom_tests,costa-group_circom_tests\detecting_last_assignment\known_last_array\known_last_assignment_1_signal_comp_array\known_last_assignment_1_signal_comp_array.circom,main,1,1,0,0,True,True
no-unroll-aggressive,costa-group_circom_tests,costa-group_circom_tests\detecting_last_assignment\known_last_if_array\if_known_last_assignment_1_mixed_array\if_known_last_assignment_1_mixed_array.circom,main,1,1,0,0,True,True
no-unroll-aggressive,costa-group_circom_tests,costa-group_circom_tests\detecting_last_assignment\known_last_if_array\if_known_last_assignment_1_signal_comp_array\if_known_last_assignment_1_signal_comp_array.circom,main,1,1,0,0,True,True
no-unroll-aggressive,costa-group_circom_tests,costa-group_circom_tests\detecting_last_assignment\unknown_last_while\unknown_last_assignment_1_mixed\unknown_last_assignment_1_mixed.circom,main,1,1,0,0,True,True
no-unroll-aggressive,costa-group_circom_tests,costa-group_circom_tests\detecting_last_assignment\unknown_last_while_array\unknown_last_assignment_1_mixed_array\unknown_last_assignment_1_mixed_array.circom,main,1,1,0,0,True,True
no-unroll-aggressive,costa-group_circom_tests,costa-group_circom_tests\detecting_last_assignment\unknown_last_while_array\unknown_last_assignment_1_signal_comp_array\unknown_last_assignment_1_signal_comp.circom,main,1,1,0,0,True,True
no-unroll-aggressive,costa-group_circom_tests,costa-group_circom_tests\detecting_last_assignment\unknown_last_while_array\unknown_last_assignment_1_signal_comp_array\unknown_last_assignment_1_signal_comp_array.circom,main,1,1,0,0,True,True
no-unroll-aggressive,costa-group_circom_tests,costa-group_circom_tests\examples_parallel_component\ex1\ex1_non_parallel\ex1_non_parallel.circom,main,1,1,0,0,True,True
no-unroll-aggressive,costa-group_circom_tests,costa-group_circom_tests\examples_parallel_component\ex1\ex1_parallel_component\ex1_parallel_component.circom,main,1,1,0,0,True,True
no-unroll-aggressive,costa-group_circom_tests,costa-group_circom_tests\examples_parallel_component\ex1\ex1_parallel_template\ex1_parallel_template.circom,main,1,1,0,0,True,True
no-unroll-aggressive,costa-group_circom_tests,costa-group_circom_tests\examples_parallel_component\ex2\no_parallel\ex1_non_parallel.circom,main,1,1,0,0,True,True
no-unroll-aggressive,costa-group_circom_tests,costa-group_circom_tests\examples_parallel_component\ex2\no_parallel\no_parallel.circom,main,1,1,0,0,True,True
no-unroll-aggressive,costa-group_circom_tests,costa-group_circom_tests\examples_parallel_component\ex2\parallel_component\ex1_parallel_component.circom,main,1,1,0,0,True,True
no-unroll-aggressive,costa-group_circom_tests,costa-group_circom_tests\examples_parallel_component\ex2\parallel_component\parallel_component.circom,main,1,1,0,0,True,True
