project_name,log_file,reason,expected_names,candidate_paths,projects_dir
Ayalyt_blockchain-Verification-Integration,isZero.circom.log,ambiguous,isZero.circom,D:/dev/circomspect/evaluation/evaluation_projects/Ayalyt_blockchain-Verification-Integration/Compiler-Verification/benchmarks/issues/230_reliance/circuits/circom-ecdsa/node_modules/circomlib/test/circuits/iszero.circom;D:/dev/circomspect/evaluation/evaluation_projects/Ayalyt_blockchain-Verification-Integration/Compiler-Verification/benchmarks/tests/isZero.circom,D:/dev/circomspect/evaluation/evaluation_projects/Ayalyt_blockchain-Verification-Integration
Ayalyt_blockchain-Verification-Integration,temp.circom.log,ambiguous,temp.circom,D:/dev/circomspect/evaluation/evaluation_projects/Ayalyt_blockchain-Verification-Integration/compiler-testing/cases/4/temp.circom;D:/dev/circomspect/evaluation/evaluation_projects/Ayalyt_blockchain-Verification-Integration/compiler-testing/workspace/temp/1/temp.circom;D:/dev/circomspect/evaluation/evaluation_projects/Ayalyt_blockchain-Verification-Integration/compiler-testing/workspace/temp/2/temp.circom,D:/dev/circomspect/evaluation/evaluation_projects/Ayalyt_blockchain-Verification-Integration
Ayalyt_blockchain-Verification-Integration,temp1.circom.log,ambiguous,temp1.circom,D:/dev/circomspect/evaluation/evaluation_projects/Ayalyt_blockchain-Verification-Integration/compiler-testing/cases/1/temp1.circom;D:/dev/circomspect/evaluation/evaluation_projects/Ayalyt_blockchain-Verification-Integration/compiler-testing/cases/2/temp1.circom;D:/dev/circomspect/evaluation/evaluation_projects/Ayalyt_blockchain-Verification-Integration/compiler-testing/cases/3/temp1.circom;D:/dev/circomspect/evaluation/evaluation_projects/Ayalyt_blockchain-Verification-Integration/compiler-testing/workspace/temp/1/temp1.circom;D:/dev/circomspect/evaluation/evaluation_projects/Ayalyt_blockchain-Verification-Integration/compiler-testing/workspace/temp/2/temp1.circom,D:/dev/circomspect/evaluation/evaluation_projects/Ayalyt_blockchain-Verification-Integration
Ayalyt_blockchain-Verification-Integration,temp1_circom__main__2.log,ambiguous,temp1_circom__main__2.circom;temp1.circom,D:/dev/circomspect/evaluation/evaluation_projects/Ayalyt_blockchain-Verification-Integration/compiler-testing/cases/1/temp1.circom;D:/dev/circomspect/evaluation/evaluation_projects/Ayalyt_blockchain-Verification-Integration/compiler-testing/cases/2/temp1.circom;D:/dev/circomspect/evaluation/evaluation_projects/Ayalyt_blockchain-Verification-Integration/compiler-testing/cases/3/temp1.circom;D:/dev/circomspect/evaluation/evaluation_projects/Ayalyt_blockchain-Verification-Integration/compiler-testing/workspace/temp/1/temp1.circom;D:/dev/circomspect/evaluation/evaluation_projects/Ayalyt_blockchain-Verification-Integration/compiler-testing/workspace/temp/2/temp1.circom,D:/dev/circomspect/evaluation/evaluation_projects/Ayalyt_blockchain-Verification-Integration
Ayalyt_blockchain-Verification-Integration,temp1_circom__main__3.log,ambiguous,temp1_circom__main__3.circom;temp1.circom,D:/dev/circomspect/evaluation/evaluation_projects/Ayalyt_blockchain-Verification-Integration/compiler-testing/cases/1/temp1.circom;D:/dev/circomspect/evaluation/evaluation_projects/Ayalyt_blockchain-Verification-Integration/compiler-testing/cases/2/temp1.circom;D:/dev/circomspect/evaluation/evaluation_projects/Ayalyt_blockchain-Verification-Integration/compiler-testing/cases/3/temp1.circom;D:/dev/circomspect/evaluation/evaluation_projects/Ayalyt_blockchain-Verification-Integration/compiler-testing/workspace/temp/1/temp1.circom;D:/dev/circomspect/evaluation/evaluation_projects/Ayalyt_blockchain-Verification-Integration/compiler-testing/workspace/temp/2/temp1.circom,D:/dev/circomspect/evaluation/evaluation_projects/Ayalyt_blockchain-Verification-Integration
Ayalyt_blockchain-Verification-Integration,temp2.circom.log,ambiguous,temp2.circom,D:/dev/circomspect/evaluation/evaluation_projects/Ayalyt_blockchain-Verification-Integration/compiler-testing/cases/1/temp2.circom;D:/dev/circomspect/evaluation/evaluation_projects/Ayalyt_blockchain-Verification-Integration/compiler-testing/cases/2/temp2.circom;D:/dev/circomspect/evaluation/evaluation_projects/Ayalyt_blockchain-Verification-Integration/compiler-testing/cases/3/temp2.circom;D:/dev/circomspect/evaluation/evaluation_projects/Ayalyt_blockchain-Verification-Integration/compiler-testing/workspace/temp/1/temp2.circom;D:/dev/circomspect/evaluation/evaluation_projects/Ayalyt_blockchain-Verification-Integration/compiler-testing/workspace/temp/2/temp2.circom,D:/dev/circomspect/evaluation/evaluation_projects/Ayalyt_blockchain-Verification-Integration
Ayalyt_blockchain-Verification-Integration,temp2_circom__main__2.log,ambiguous,temp2_circom__main__2.circom;temp2.circom,D:/dev/circomspect/evaluation/evaluation_projects/Ayalyt_blockchain-Verification-Integration/compiler-testing/cases/1/temp2.circom;D:/dev/circomspect/evaluation/evaluation_projects/Ayalyt_blockchain-Verification-Integration/compiler-testing/cases/2/temp2.circom;D:/dev/circomspect/evaluation/evaluation_projects/Ayalyt_blockchain-Verification-Integration/compiler-testing/cases/3/temp2.circom;D:/dev/circomspect/evaluation/evaluation_projects/Ayalyt_blockchain-Verification-Integration/compiler-testing/workspace/temp/1/temp2.circom;D:/dev/circomspect/evaluation/evaluation_projects/Ayalyt_blockchain-Verification-Integration/compiler-testing/workspace/temp/2/temp2.circom,D:/dev/circomspect/evaluation/evaluation_projects/Ayalyt_blockchain-Verification-Integration
Ayalyt_blockchain-Verification-Integration,temp2_circom__main__3.log,ambiguous,temp2_circom__main__3.circom;temp2.circom,D:/dev/circomspect/evaluation/evaluation_projects/Ayalyt_blockchain-Verification-Integration/compiler-testing/cases/1/temp2.circom;D:/dev/circomspect/evaluation/evaluation_projects/Ayalyt_blockchain-Verification-Integration/compiler-testing/cases/2/temp2.circom;D:/dev/circomspect/evaluation/evaluation_projects/Ayalyt_blockchain-Verification-Integration/compiler-testing/cases/3/temp2.circom;D:/dev/circomspect/evaluation/evaluation_projects/Ayalyt_blockchain-Verification-Integration/compiler-testing/workspace/temp/1/temp2.circom;D:/dev/circomspect/evaluation/evaluation_projects/Ayalyt_blockchain-Verification-Integration/compiler-testing/workspace/temp/2/temp2.circom,D:/dev/circomspect/evaluation/evaluation_projects/Ayalyt_blockchain-Verification-Integration
Ayalyt_blockchain-Verification-Integration,temp_circom__main__2.log,ambiguous,temp_circom__main__2.circom;temp.circom,D:/dev/circomspect/evaluation/evaluation_projects/Ayalyt_blockchain-Verification-Integration/compiler-testing/cases/4/temp.circom;D:/dev/circomspect/evaluation/evaluation_projects/Ayalyt_blockchain-Verification-Integration/compiler-testing/workspace/temp/1/temp.circom;D:/dev/circomspect/evaluation/evaluation_projects/Ayalyt_blockchain-Verification-Integration/compiler-testing/workspace/temp/2/temp.circom,D:/dev/circomspect/evaluation/evaluation_projects/Ayalyt_blockchain-Verification-Integration
costa-group_circom_tests,correct_1.circom.log,ambiguous,correct_1.circom,D:/dev/circomspect/evaluation/evaluation_projects/costa-group_circom_tests/test_known_unknown/test_arrays/correct_1/correct_1.circom;D:/dev/circomspect/evaluation/evaluation_projects/costa-group_circom_tests/test_known_unknown/test_constraints/correct_1/correct_1.circom,D:/dev/circomspect/evaluation/evaluation_projects/costa-group_circom_tests
