variant,project_name,file_path,baseline_full_tp,baseline_partial_tp,variant_full,variant_partial,tp_full,tp_partial,entry_hit,entry_fn
full,namnc_circom-2-arithc,namnc_circom-2-arithc\tests\circuits\integration\infixOps.circom,0,1,0,1,0,1,1,0
full,Cryamor_Circom-AST-Extractor,Cryamor_Circom-AST-Extractor\testcase\28.circom,5,0,5,0,5,0,1,0
full,Cryamor_Circom-AST-Extractor,Cryamor_Circom-AST-Extractor\testcase\29.circom,5,0,5,0,5,0,1,0
full,Cryamor_Circom-AST-Extractor,Cryamor_Circom-AST-Extractor\testcase\30.circom,5,0,5,0,5,0,1,0
full,hshadab_agentkit,hshadab_agentkit\circuits\ProximityVerification.circom,5,0,5,0,5,0,1,0
full,hshadab_agentkit,hshadab_agentkit\x402\circuits\option-b-v2\decision_with_binding.circom,5,0,5,0,5,0,1,0
full,Ronnieraj37_ETH-villa,Ronnieraj37_ETH-villa\core\circuits\private_swap.circom,4,0,4,0,4,0,1,0
full,Ayalyt_blockchain-Verification-Integration,Ayalyt_blockchain-Verification-Integration\compiler-testing\workspace\temp\2\temp.circom,3,0,3,0,3,0,1,0
full,hshadab_agentkit,hshadab_agentkit\x402\circuits\option-b\decision_with_commitment.circom,3,0,3,0,3,0,1,0
full,huyphamcs_oyrade-contract-privacy,huyphamcs_oyrade-contract-privacy\zk\circuits\withdraw.circom,3,0,3,0,3,0,1,0
full,namnc_circom-2-arithc,namnc_circom-2-arithc\tests\circuits\integration\prefixOps.circom,3,0,3,0,3,0,1,0
full,victoirefem_bp_final,victoirefem_bp_final\circom-2-arithc\tests\circuits\integration\prefixOps.circom,3,0,3,0,3,0,1,0
full,Ayalyt_blockchain-Verification-Integration,Ayalyt_blockchain-Verification-Integration\Compiler-Verification\benchmarks\tests\Com_Arg.circom,2,0,2,0,2,0,1,0
full,Ayalyt_blockchain-Verification-Integration,Ayalyt_blockchain-Verification-Integration\compiler-testing\workspace\result\1.circom,2,0,2,0,2,0,1,0
