
================================================================================
Circomspect 隐私泄露评估测试报告
================================================================================

【总体统计】
  总分析文件数: 2373
  模式分布: Main=2373, Library=0
  运行状况: 成功=2365, 失败=8
  总用时: 868.89 秒
  实际被作为 main 入口分析的文件数: 1675
    其中显式指定了 public 信号的占比: 10/1675 (0.6%)
  存在隐私泄露的文件数: 583 (24.6%)
  风险信号总数: 1295 (FULL LEAK: 118, PARTIAL LEAK: 1295)

【按项目统计】
  - costa-group_circom_tests: 238 文件, 泄露文件: 88, 风险信号: 98 (FULL: 17, PARTIAL: 98)
  - jose-blockchain_opencircom: 39 文件, 泄露文件: 30, 风险信号: 73 (FULL: 0, PARTIAL: 73)
  - Ayalyt_blockchain-Verification-Integration: 221 文件, 泄露文件: 21, 风险信号: 35 (FULL: 7, PARTIAL: 35)
  - Cryamor_Circom-AST-Extractor: 37 文件, 泄露文件: 19, 风险信号: 43 (FULL: 16, PARTIAL: 43)
  - victoirefem_bp_final: 27 文件, 泄露文件: 18, 风险信号: 49 (FULL: 0, PARTIAL: 49)
  - WasinYokk_OTC: 50 文件, 泄露文件: 15, 风险信号: 19 (FULL: 0, PARTIAL: 19)
  - agnij-dutta_sigil: 17 文件, 泄露文件: 14, 风险信号: 68 (FULL: 1, PARTIAL: 68)
  - Teycir_ZkPatternFuzz: 34 文件, 泄露文件: 14, 风险信号: 26 (FULL: 8, PARTIAL: 26)
  - mdvillagra_blockchain-2025: 12 文件, 泄露文件: 12, 风险信号: 26 (FULL: 0, PARTIAL: 26)
  - alexbabits_circom-puzzles: 26 文件, 泄露文件: 10, 风险信号: 17 (FULL: 2, PARTIAL: 17)
  - namnc_circom-2-arithc: 19 文件, 泄露文件: 10, 风险信号: 25 (FULL: 0, PARTIAL: 25)
  - aidenlippert_persona-chain: 17 文件, 泄露文件: 9, 风险信号: 35 (FULL: 0, PARTIAL: 35)
  - CleanPegasus_zero-knowledge-puzzles: 32 文件, 泄露文件: 9, 风险信号: 10 (FULL: 1, PARTIAL: 10)
  - danielfsha_Card-RPG: 10 文件, 泄露文件: 7, 风险信号: 56 (FULL: 1, PARTIAL: 56)
  - hshadab_agentkit: 10 文件, 泄露文件: 7, 风险信号: 22 (FULL: 13, PARTIAL: 22)
  - johnson86tw_circom-playground: 18 文件, 泄露文件: 7, 风险信号: 12 (FULL: 2, PARTIAL: 12)
  - leon0x01_zk_puzzle_solve: 11 文件, 泄露文件: 7, 风险信号: 13 (FULL: 0, PARTIAL: 13)
  - spo0ds_ZkpPuzzleSolution: 10 文件, 泄露文件: 7, 风险信号: 13 (FULL: 0, PARTIAL: 13)
  - docknetwork_crypto: 19 文件, 泄露文件: 6, 风险信号: 11 (FULL: 0, PARTIAL: 11)
  - Edward-959_zero-knowledge-puzzles-answer: 22 文件, 泄露文件: 6, 风险信号: 13 (FULL: 0, PARTIAL: 13)
  - Shigeo1042_Issuer-Hiding: 19 文件, 泄露文件: 6, 风险信号: 11 (FULL: 0, PARTIAL: 11)
  - elohcrypto_Vanguard: 5 文件, 泄露文件: 5, 风险信号: 25 (FULL: 0, PARTIAL: 25)
  - iden3_circuits: 34 文件, 泄露文件: 5, 风险信号: 5 (FULL: 0, PARTIAL: 5)
  - iri031_rareskills-zk-puzzles: 10 文件, 泄露文件: 5, 风险信号: 9 (FULL: 0, PARTIAL: 9)
  - leinss_zero_knowledge_zk: 5 文件, 泄露文件: 5, 风险信号: 10 (FULL: 0, PARTIAL: 10)
  - Pain351_ZKneP: 5 文件, 泄露文件: 5, 风险信号: 33 (FULL: 0, PARTIAL: 33)
  - rodrigombsoares_zero-knowledge-puzzles-solutions: 10 文件, 泄露文件: 5, 风险信号: 7 (FULL: 0, PARTIAL: 7)
  - dilawar_playground: 4 文件, 泄露文件: 4, 风险信号: 8 (FULL: 0, PARTIAL: 8)
  - hlibbc_solidity-practice: 11 文件, 泄露文件: 4, 风险信号: 7 (FULL: 1, PARTIAL: 7)
  - huyphamcs_oyrade-contract-privacy: 4 文件, 泄露文件: 4, 风险信号: 17 (FULL: 7, PARTIAL: 17)
  - kyzooghost_zk-circuit-tutorial: 4 文件, 泄露文件: 4, 风险信号: 8 (FULL: 0, PARTIAL: 8)
  - Lukman-01_RareSkills-Puzzles: 21 文件, 泄露文件: 4, 风险信号: 10 (FULL: 0, PARTIAL: 10)
  - SealevelStudio_SealevelStudio: 4 文件, 泄露文件: 4, 风险信号: 10 (FULL: 2, PARTIAL: 10)
  - Sindri-Labs_sindri-resources: 4 文件, 泄露文件: 4, 风险信号: 11 (FULL: 1, PARTIAL: 11)
  - somesh-banerjee_zkp-tutorial: 10 文件, 泄露文件: 4, 风险信号: 5 (FULL: 0, PARTIAL: 5)
  - uiuc-kang-lab_zkperf: 13 文件, 泄露文件: 4, 风险信号: 49 (FULL: 0, PARTIAL: 49)
  - yest96_circom-analyzer: 4 文件, 泄露文件: 4, 风险信号: 10 (FULL: 0, PARTIAL: 10)
  - yushihang_circomExamples: 5 文件, 泄露文件: 4, 风险信号: 4 (FULL: 0, PARTIAL: 4)
  - Zyra-V21_ZKUzumaki: 7 文件, 泄露文件: 4, 风险信号: 8 (FULL: 0, PARTIAL: 8)
  - Alchemist21_pecunia: 4 文件, 泄露文件: 3, 风险信号: 3 (FULL: 2, PARTIAL: 3)
  - andrejrakic_circom-bootcamp-monorepo: 34 文件, 泄露文件: 3, 风险信号: 8 (FULL: 0, PARTIAL: 8)
  - beto-rocha-blockchain_EnerTradeZK: 3 文件, 泄露文件: 3, 风险信号: 5 (FULL: 1, PARTIAL: 5)
  - calnix_circom-notes: 9 文件, 泄露文件: 3, 风险信号: 6 (FULL: 0, PARTIAL: 6)
  - CGuthmann_Infrachain_ZeroKnowledge: 5 文件, 泄露文件: 3, 风险信号: 5 (FULL: 3, PARTIAL: 5)
  - eh7_crypto-wallet-platform: 3 文件, 泄露文件: 3, 风险信号: 6 (FULL: 0, PARTIAL: 6)
  - frederickemerson_Lumina: 3 文件, 泄露文件: 3, 风险信号: 4 (FULL: 0, PARTIAL: 4)
  - HoYongJin_zk-vote: 4 文件, 泄露文件: 3, 风险信号: 18 (FULL: 3, PARTIAL: 18)
  - mk1018_rollup: 14 文件, 泄露文件: 3, 风险信号: 6 (FULL: 0, PARTIAL: 6)
  - ocdbytes_ZK: 4 文件, 泄露文件: 3, 风险信号: 7 (FULL: 0, PARTIAL: 7)
  - oskarth_zkintro-tutorial: 3 文件, 泄露文件: 3, 风险信号: 6 (FULL: 0, PARTIAL: 6)
  - Pecunia-Labs_pecunia-tron: 4 文件, 泄露文件: 3, 风险信号: 3 (FULL: 2, PARTIAL: 3)
  - RAJIV81205_X-Ramp: 3 文件, 泄露文件: 3, 风险信号: 15 (FULL: 0, PARTIAL: 15)
  - santacroce-tech_zkgame: 3 文件, 泄露文件: 3, 风险信号: 3 (FULL: 1, PARTIAL: 3)
  - socathie_circomlib-ml: 40 文件, 泄露文件: 3, 风险信号: 4 (FULL: 1, PARTIAL: 4)
  - Ty-HA_zkage-proof-mobile: 3 文件, 泄露文件: 3, 风险信号: 5 (FULL: 4, PARTIAL: 5)
  - vvmafra_EnerTradeZK: 3 文件, 泄露文件: 3, 风险信号: 5 (FULL: 1, PARTIAL: 5)
  - 0xShiiro_ZK-learnings: 3 文件, 泄露文件: 2, 风险信号: 4 (FULL: 1, PARTIAL: 4)
  - ABaaaC_zkKaggle: 2 文件, 泄露文件: 2, 风险信号: 2 (FULL: 0, PARTIAL: 2)
  - akharawita_poc-zkf-dapp: 2 文件, 泄露文件: 2, 风险信号: 3 (FULL: 0, PARTIAL: 3)
  - AkshatGada_circom-lib: 3 文件, 泄露文件: 2, 风险信号: 3 (FULL: 0, PARTIAL: 3)
